Tc: 2579965.1289741104, Phic: 2.7529285292651835, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 20
Tc: 2579965.1289741104, Phic: 2.7529285292651835, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 50
Tc: 2579965.1289741104, Phic: 2.7529285292651835, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 100
Tc: 2579965.1289741104, Phic: 3.9310076817513613, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 20
Tc: 2579965.1289741104, Phic: 3.9310076817513613, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 50
Tc: 2579965.1289741104, Phic: 3.9310076817513613, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 0.36952770961048315, SNR: 100
Tc: 2579965.1289741104, Phic: 3.104187466716215, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 20
Tc: 2579965.1289741104, Phic: 3.104187466716215, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 50
Tc: 2579965.1289741104, Phic: 3.104187466716215, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 100
Tc: 2579965.1289741104, Phic: 0.5822006532755605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 20
Tc: 2579965.1289741104, Phic: 0.5822006532755605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 50
Tc: 2579965.1289741104, Phic: 0.5822006532755605, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 1.578063506405147, Psi: 5.964711580854802, SNR: 100
Tc: 2579965.1289741104, Phic: 2.153773715298047, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 20
Tc: 2579965.1289741104, Phic: 2.153773715298047, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 50
Tc: 2579965.1289741104, Phic: 2.153773715298047, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 100
Tc: 2579965.1289741104, Phic: 2.2875174919808825, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 20
Tc: 2579965.1289741104, Phic: 2.2875174919808825, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 50
Tc: 2579965.1289741104, Phic: 2.2875174919808825, Mc: 99.25333608568151, Eta: 0.16103173428984927, DL: 1.0910208776455045e+19, ThetaS: 2.5850189730619624, PhiS: 3.9206634142069974, Iota: 0.22675567556014764, Psi: 3.963312149857044, SNR: 100
